"","Continent_Name","geo","country","lifeeexp_2021","Income per person","GDP total","growth_2021","date","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verficiation_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_2021"
"87","Asia","jpn","Japan",84.78,41241,5198413930090,2.95,2021-12-20,78.03,79.49,157.722143222324,157.72,98362579,245993,198810017,126050796
"88","Europe","kaz","Kazakhstan",73.19,25820,490455386925,2.69,2021-12-20,44.03,46.85,90.8808695444338,90.88,8363114,NA,17262783,18994958
"89","Asia","kaz","Kazakhstan",73.19,25820,490455386925,2.69,2021-12-20,44.03,46.85,90.8808695444338,90.88,8363114,NA,17262783,18994958
"90","Asia","jor","Jordan",79.86,9828,100926719038,1.86,2021-12-20,37.68,41.69,79.3782796453255,79.38,3869746,NA,8151373,10269022
"91","Africa","ken","Kenya",67.18,4446,244452714976,3.4,2021-12-20,6.53,10.79,16.2109233414898,16.21,3592043,NA,8913690,54985702
"92","Asia","kor","South Korea",83.3,43897,2252157006501,2.74,2021-12-20,82.12,85.02,188.329629614037,188.33,42131332,12377850,96622863,51305184
"93","Asia","kwt","Kuwait",83.54,43633,188867337043,0.43,2021-12-20,74,76.83,156.879354370849,156.88,3203278,108687,6790606,4328553
"94","Asia","lbn","Lebanon",78.23,10016,67800313287,-3.79,2021-12-20,26.3,31.83,58.1221928717501,58.12,1780078,NA,3934379,6769151
"95","Africa","lso","Lesotho",57.04,2621,5659534582,3.02,2021-12-20,29.69,30.05,31.8701087089933,31.87,641007,NA,688097,2159067
"96","Europe","lva","Latvia",75.67,31298,58431995073,5.4,2021-12-20,66.71,69.76,132.223849370144,132.22,1245351,197274,2468532,1866934
"97","Africa","lbr","Liberia",65.83,1365,7071130071,2.17,2021-12-20,14.58,15.15,16.9937770838545,16.99,755263,NA,880313,5180208
"98","Africa","lby","Libya",73.67,13840,96309431432,4.4,2021-12-20,11.3,26.2,37.4993281634734,37.5,786157,NA,2609405,6958538
"99","Europe","lie","Liechtenstein",NA,NA,NA,NA,2021-12-20,66.63,68.08,159.293145814817,159.29,25490,10291,60936,38254
"100","Europe","ltu","Lithuania",75.75,38117,102529312834,3.22,2021-12-20,67.57,70.78,148.257642957148,148.26,1817452,532701,3987926,2689862
"101","Europe","lux","Luxembourg",82.26,113004,71736259697,1.67,2021-12-20,67.69,72.26,159.760496775433,159.76,429705,156467,1014182,634814
"102","Africa","mdg","Madagascar",64.87,1548,44009545955,2.46,2021-12-20,1.9,2.07,2.61040668148503,2.61,541160,NA,742069,28427333
"103","Africa","mwi","Malawi",65.04,1029,20225105145,3.52,2021-12-20,3.32,6.9,8.34466418708651,8.34,651693,NA,1639533,19647681
"104","Asia","mys","Malaysia",75.34,27805,911343281537,4.67,2021-12-20,77.95,79.17,169.250411769884,169.25,25547435,4174420,55473845,32776195
"105","Asia","mdv","Maldives",82.66,15216,8271841576,11.5,2021-12-20,67.36,72.91,144.331702292042,144.33,366165,22093,784616,543620
"106","Africa","mli","Mali",63.65,2230,46510796484,2.9,2021-12-20,1.69,4.09,4.82669889570844,4.83,353103,NA,1006643,20855724
"107","Europe","mlt","Malta",81.6,40243,17819165862,4.53,2021-12-20,84.22,84.86,228.715869825425,196.23,434679,172357,1012731,442790
"108","Africa","mrt","Mauritania",71.46,5020,23969502966,3.26,2021-12-20,14.9,23.3,38.2009838516809,38.2,711701,NA,1824139,4775110
"109","Africa","mus","Mauritius",75.31,20525,26137579335,5.22,2021-12-20,71.85,71.97,158.097748753758,158.1,914936,NA,2013261,1273428
"110","North America","mex","Mexico",75.8,18691,2434774026047,2.09,2021-12-20,51.25,62.81,108.881692635056,108.88,66753364,NA,141831710,130262220
"111","Europe","mco","Monaco",NA,70021,2767235819,1.04,2021-12-20,58.98,67.49,126.467611336032,126.47,23308,NA,49980,39520
"112","Asia","mng","Mongolia",69.68,11830,39386189135,5.75,2021-12-20,64.89,68.02,132.901148055346,132.9,2160217,NA,4424654,3329282
"113","Europe","mda","Moldova",73.31,13076,52616590074,5.89,2021-12-20,24.01,24.6,42.7753058194221,42.78,966337,NA,1721289,4024025
"114","Europe","mne","Montenegro",76.98,19939,12522485588,5.43,2021-12-20,42.59,44.81,87.402615392699,87.4,267480,NA,548933,628051
"115","Africa","mar","Morocco",74.85,7156,267222995456,2.89,2021-12-20,61.4,65.85,133.157896977696,133.16,22929634,NA,49727533,37344787
