"","location","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred"
"44","World",2021-01-13,38638366,24837485,2919597,8,0.49,0.32,0.04,0
"45","World",2021-01-14,41544853,27116163,3137376,10,0.53,0.34,0.04,0
"46","World",2021-01-15,44410220,29311776,3306240,10,0.56,0.37,0.04,0
"47","World",2021-01-16,46225300,30722297,3409151,10,0.59,0.39,0.04,0
"48","World",2021-01-17,47420623,31701034,3568473,11,0.6,0.4,0.05,0
"49","World",2021-01-18,49849282,33505350,3964857,12,0.63,0.43,0.05,0
"50","World",2021-01-19,52861812,35698877,4545801,13,0.67,0.45,0.06,0
"51","World",2021-01-20,61272102,38348503,5243904,14,0.78,0.49,0.07,0
"52","World",2021-01-21,64850820,41150475,5840340,15,0.82,0.52,0.07,0
"53","World",2021-01-22,68771925,44473438,6227092,15,0.87,0.56,0.08,0
"54","World",2021-01-23,71188785,46358297,6542160,16,0.9,0.59,0.08,0
"55","World",2021-01-24,72721430,47510685,6884822,16,0.92,0.6,0.09,0
"56","World",2021-01-25,75955873,49732258,7744875,17,0.96,0.63,0.1,0
"57","World",2021-01-26,79484500,52001678,8741071,20,1.01,0.66,0.11,0
"58","World",2021-01-27,91433718,54839676,9775519,20,1.16,0.7,0.12,0
"59","World",2021-01-28,96048883,58035999,10817633,20,1.22,0.74,0.14,0
"60","World",2021-01-29,100607059,61271578,11706803,20,1.28,0.78,0.15,0
"61","World",2021-01-30,103493876,63357046,12283701,20,1.31,0.8,0.16,0
"62","World",2021-01-31,106682540,64626010,12754605,20,1.35,0.82,0.16,0
"63","World",2021-02-01,110092728,66679783,13753147,21,1.4,0.85,0.17,0
"64","World",2021-02-02,113892810,68995480,14926894,50,1.45,0.88,0.19,0
"65","World",2021-02-03,125968399,71992174,16365510,50,1.6,0.91,0.21,0
"66","World",2021-02-04,131372525,75416760,17946904,51,1.67,0.96,0.23,0
"67","World",2021-02-05,136705594,79014661,19372032,53,1.74,1,0.25,0
"68","World",2021-02-06,139963441,81236360,20097380,55,1.78,1.03,0.26,0
"69","World",2021-02-07,141694239,82365606,20680474,55,1.8,1.05,0.26,0
"70","World",2021-02-08,145495962,84763098,21828690,55,1.85,1.08,0.28,0
"71","World",2021-02-09,159518338,87730625,23287651,63,2.03,1.11,0.3,0
"72","World",2021-02-10,165196627,91253947,24957853,63,2.1,1.16,0.32,0
"73","World",2021-02-11,170851984,94790271,26772751,66,2.17,1.2,0.34,0
"74","World",2021-02-12,177176270,101456659,28880335,68,2.25,1.29,0.37,0
"75","World",2021-02-13,181138557,103968651,29928474,68,2.3,1.32,0.38,0
"76","World",2021-02-14,183354918,105471578,30683770,68,2.33,1.34,0.39,0
"77","World",2021-02-15,187882327,108383416,31948611,68,2.39,1.38,0.41,0
"78","World",2021-02-16,192878032,111304117,33685993,85,2.45,1.41,0.43,0
"79","World",2021-02-17,198792919,114921555,35647794,86,2.52,1.46,0.45,0
"80","World",2021-02-18,205371099,118779456,37727413,87,2.61,1.51,0.48,0
"81","World",2021-02-19,210926271,124276940,40138447,89,2.68,1.58,0.51,0
"82","World",2021-02-20,214934164,126884466,41427222,93,2.73,1.61,0.53,0
"83","World",2021-02-21,217200387,128400702,42270550,96,2.76,1.63,0.54,0
"84","World",2021-02-22,221445371,130987392,43798042,101,2.81,1.66,0.56,0
"85","World",2021-02-23,227516192,136878246,47920355,104,2.89,1.74,0.61,0
"86","World",2021-02-24,234201506,141071629,50094599,108,2.97,1.79,0.64,0
"87","World",2021-02-25,241505352,145610800,52625885,112,3.07,1.85,0.67,0
"88","World",2021-02-26,248720028,150072447,55214817,116,3.16,1.91,0.7,0
"89","World",2021-02-27,253772355,153273583,56776595,119,3.22,1.95,0.72,0
"90","World",2021-02-28,268642443,155524524,57482207,135,3.41,1.97,0.73,0
"91","World",2021-03-01,274345600,159394459,59119908,139,3.48,2.02,0.75,0
"92","World",2021-03-02,285649791,167496459,62070389,146,3.63,2.13,0.79,0
"93","World",2021-03-03,294011963,173065607,64585049,147,3.73,2.2,0.82,0
"94","World",2021-03-04,303598817,179560540,67402103,153,3.86,2.28,0.86,0
"95","World",2021-03-05,312558728,185806109,70092902,159,3.97,2.36,0.89,0
"96","World",2021-03-06,319369725,190537931,72056990,162,4.06,2.42,0.92,0
"97","World",2021-03-07,323423092,193675513,72884761,162,4.11,2.46,0.93,0
"98","World",2021-03-08,331167715,199405494,74906800,166,4.21,2.53,0.95,0
"99","World",2021-03-09,339616874,205407244,77309776,186,4.31,2.61,0.98,0
"100","World",2021-03-10,349823970,212367146,80440684,195,4.44,2.7,1.02,0
"101","World",2021-03-11,359080020,218303831,83400817,197,4.56,2.77,1.06,0
"102","World",2021-03-12,369338849,225392784,86823248,197,4.69,2.86,1.1,0
"103","World",2021-03-13,376981833,231394207,89169515,201,4.79,2.94,1.13,0
"104","World",2021-03-14,393418679,234439888,90149116,204,5,2.98,1.14,0
"105","World",2021-03-15,403553139,241604302,93071112,207,5.12,3.07,1.18,0
"106","World",2021-03-16,413536466,248208667,96135107,211,5.25,3.15,1.22,0
"107","World",2021-03-17,424539421,255223323,99956193,216,5.39,3.24,1.27,0
"108","World",2021-03-18,435183415,262597170,103058383,221,5.53,3.33,1.31,0
"109","World",2021-03-19,448463348,271831775,106615726,224,5.69,3.45,1.35,0
"110","World",2021-03-20,467196800,278798164,108616731,226,5.93,3.54,1.38,0
"111","World",2021-03-21,471244420,281606692,109591469,227,5.98,3.58,1.39,0
"112","World",2021-03-22,487609584,289593187,112245428,235,6.19,3.68,1.43,0
"113","World",2021-03-23,501262767,297433637,115317151,241,6.37,3.78,1.46,0
"114","World",2021-03-24,516554339,306081689,118760196,246,6.56,3.89,1.51,0
"115","World",2021-03-25,533952794,314201305,122334176,252,6.78,3.99,1.55,0
